Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B;Measles;BMI;Polio;Diphtheria;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy
Maldives;Asia;2009;No;12,8;14,9;1,41;98;96;24,4;98;98;0,17;8222;0,35;14,1;14,2;4,7;75,5
Nicaragua;Central America and Caribbean;2006;No;23,9;28,5;3,64;88;83;26,4;88;88;0,13;1616;5,51;2;1,9;5,6;71,4
Mongolia;Asia;2003;No;38,9;49,1;1,67;98;98;24,6;98;98;0,02;1784;2,47;2,4;2,5;8,4;64,2
Iraq;Middle East;2001;No;34,9;43,5;0,19;66;52;27,1;80;78;0,13;4284;24,21;5,6;5,3;5,2;69
Haiti;Central America and Caribbean;2011;No;57,6;77,4;2,36;60;83;24,7;67;68;0,83;1343;10,1;4;4;4,8;60,9
Uruguay;South America;2013;No;8,3;9,7;6,42;94;92;27;94;94;0,26;15168;3,39;1,5;1,4;8,5;77,1
Azerbaijan;Asia;2007;No;39,1;45,5;0,95;62;75;26,1;81;79;0,15;4327;8,58;2,8;2,9;10,2;69,8
Pakistan;Asia;2002;No;80,9;102,4;0,014;64;33;22,7;64;68;0,13;1040;149,55;21,8;22,2;3,8;63,3
Singapore;Asia;2000;No;3;3,9;2,02;97;98;23,4;98;98;0,14;34891;4,03;2,1;2;8,9;78
Angola;Africa;2015;No;57,7;88,1;6,53;64;64;23,2;62;64;0,89;3128;27,88;8,3;8,2;5;59,4
Azerbaijan;Asia;2004;No;47;55,6;0,63;50;67;25,9;78;77;0,2;2078;8,31;3;3;10,6;68,2
Solomon Islands;Oceania;2014;No;19,9;23,4;0,95;88;65;26,1;78;88;0,17;2195;0,59;1,1;1,2;5,3;71,9
Ukraine;Rest of Europe;2015;No;8,1;9,5;6,04;22;57;26,5;51;23;0,23;2125;45,15;2,3;2,4;11,3;71,2
Senegal;Africa;2006;No;50,6;85,2;0,37;89;33;22,5;89;89;0,42;1130;11,38;11,2;11,1;2,4;61,4
Bhutan;Asia;2012;No;31;38;0,32;97;90;23,5;97;97;0,14;2479;0,7;16,1;16,7;2,5;69,3
Azerbaijan;Asia;2012;No;28,5;32,5;0,52;88;95;26,6;92;89;0,07;5195;9,3;2,8;2,8;10,7;71,5
Serbia;Rest of Europe;2003;No;9,1;10,5;9,1;82;96;25,4;89;89;0,01;3808;7,48;2,7;2,7;9,9;72,4
Niger;Africa;2009;No;64,8;130,3;0,1;71;64;21,5;71;71;0,12;424;15,84;11;1,8;1,4;56,6
Haiti;Central America and Caribbean;2010;No;102,6;203,6;2,28;60;83;24,6;66;66;0,9;1297;9,95;4;4;4,7;60,5
Slovak Republic;European Union;2006;Yes;6,6;7,9;10,89;99;97;25,8;99;99;0,01;12396;5,37;1,4;1,5;10,9;74,2
Bahamas;Central America and Caribbean;2007;No;14,1;16,5;9,92;93;83;27,3;95;95;0,57;35697;0,34;2,5;2,5;10,9;72
Finland;European Union;2005;Yes;3,1;3,7;9,95;88;92;25,9;97;97;0,08;42531;5,25;0,9;0,8;12;78,8
Denmark;European Union;2004;Yes;4,3;5,2;11,26;88;88;25,1;95;95;0,04;50792;5,4;1,2;1;12,8;77,5
Tunisia;Africa;2010;No;15,8;18,4;1,26;98;98;25,9;98;98;0,04;3955;10,64;6,3;6,3;6,7;75
Thailand;Asia;2007;No;13,4;15,6;6,12;96;94;23,5;98;98;0,3;4827;66,18;8,6;8,8;7,1;72,9
France;European Union;2009;Yes;3,1;4,3;12,66;51;67;25;98;98;0,1;35131;64,71;0,6;0,6;10,8;81,4
Samoa;Oceania;2013;No;16,2;18,9;1,84;60;74;31,8;81;67;0,17;3961;0,19;0,2;0,1;10,3;72,4
Nepal;Asia;2005;No;45,9;59,4;0,22;41;65;21,2;78;75;0,17;616;25,74;17,6;18,2;2,8;65,3
Panama;Central America and Caribbean;2013;No;15,5;18,1;6,21;80;68;26,7;81;80;0,4;12695;3,84;1,9;1,9;9,7;77,4
Ireland;European Union;2011;Yes;3,5;4,1;11,49;95;86;27,2;95;95;0,07;46221;4,58;0,3;0,2;10,9;80,7
Yemen Rep;Middle East;2001;No;65,8;90,3;0,08;19;95;22,4;73;73;0,02;2404;17,92;14;14;1,3;61,2
Germany;European Union;2007;Yes;3,7;4,5;11,51;86;92;26,2;95;96;0,08;37842;82,27;1,1;1,1;13,7;79,5
Tajikistan;Asia;2010;No;36,9;42,7;0,68;93;95;25,2;95;93;0,23;783;7,53;3,7;3,8;10,9;68,7
Nicaragua;Central America and Caribbean;2005;No;24,9;29,9;3,65;86;83;26,3;87;86;0,13;1573;5,44;2;1,9;5,5;71,2
Costa Rica;Central America and Caribbean;2015;No;7,7;9,1;3,19;92;90;27,3;92;92;0,19;11643;4,85;1,7;1,7;8,8;79,6
Chad;Africa;2002;No;96,8;177,1;0,4;27;64;21,1;31;25;1,21;421;9,02;11,1;11;1,4;47,9
Libya;Africa;2011;No;14,9;19,4;0,01;98;97;27,7;98;98;0,09;6670;6,25;5,6;5,4;7,3;72
Norway;Rest of Europe;2004;Yes;3,4;4,2;6,22;88;90;26;92;92;0,02;71655;4,59;0,8;0,7;12,7;79,8
France;European Union;2011;Yes;3,1;4,2;12,35;74;67;25,1;99;99;0,1;36246;65,34;0,6;0,6;10,9;82,1
Honduras;Central America and Caribbean;2007;No;22,4;26,7;2,94;93;83;25,7;94;94;0,11;2141;7,81;2,4;2,3;5;72,5
Iraq;Middle East;2006;No;31,8;39,1;0,035;59;52;27,6;63;59;0,13;3620;27,45;5,4;5,1;5,9;68,2
St, Lucia;Central America and Caribbean;2008;No;16,6;19;12,05;96;83;28,4;96;96;0,4;10528;0,17;4,3;4,4;7,8;74,6
Paraguay;South America;2009;No;22,6;26,9;6,06;85;77;25,9;82;85;0,15;4350;6,16;2,1;2;7;72,5
Sweden;European Union;2009;Yes;2,6;3,1;7,31;59;95;25,7;98;98;0,08;46043;9,3;1,3;1,3;12,2;81,4
Bulgaria;European Union;2002;Yes;13,2;15,9;10,8;88;79;25,4;94;93;0,02;4260;7,84;2,4;2,4;10;71,9
Slovenia;European Union;2004;Yes;3,7;4,4;10,01;88;99;25,6;94;94;0,03;18568;2;2;2;12;77,2
Montenegro;Rest of Europe;2011;No;5,1;6,1;9,02;91;97;26,1;95;95;0,03;6169;0,62;1,9;2;11,1;76
Madagascar;Africa;2006;No;53,9;81,3;0,59;82;64;20,9;83;85;0,08;482;18,88;8;7,9;5,7;61,7
Zimbabwe;Africa;2011;No;50,8;80,8;3,91;94;64;23,7;93;93;6,05;1249;12,89;6,8;6,7;7,3;52,9
Romania;European Union;2011;Yes;10;11,8;9,58;96;91;26,2;89;89;0,04;7810;20,15;2,9;3,1;10,8;74,4
Senegal;Africa;2013;No;37,6;55,4;0,19;92;33;22,9;89;92;0,12;1141;13,78;9,9;9,7;2,8;65,9
Netherlands;European Union;2005;Yes;4,4;5,3;9,5;88;93;25,3;96;96;0,06;42202;16,32;1;1;11,6;79,3
Romania;European Union;2002;Yes;17;20,1;13,15;99;97;25;98;98;0,05;5225;21,73;3,7;4,1;9,6;71
Estonia;European Union;2005;Yes;5,7;7,2;16,58;95;98;25,8;96;96;0,08;14631;1,35;2,1;2,2;12,1;72,6
Liberia;Africa;2000;No;127,9;189,7;4,47;58;64;23;56;46;3,5;776;2,85;9,2;9,2;3,5;51,7
Ethiopia;Africa;2012;No;49,5;73,5;0,54;69;64;20,4;70;69;0,28;518;92,73;1,7;1,5;2,4;63,3
Brunei Darussalam;Asia;2008;No;7,7;9,5;0,65;96;90;26,2;97;98;0,1;33981;0,38;6,1;5,6;8,7;74,5
Benin;Africa;2008;No;72,2;113,7;1,38;75;83;22,9;77;75;0,65;1001;8,7;8,1;8;2,8;58,7
Germany;European Union;2011;Yes;3,4;4,1;11,33;88;93;26,4;94;95;0,03;39977;80,27;1,1;1,1;13,9;80,4
Latvia;European Union;2012;Yes;5,6;6,6;10,2;90;92;26,4;91;91;0,24;12410;2,03;2,2;2,2;12,6;73,8
Congo Dem Rep;Africa;2005;No;95,2;136,1;2,28;69;64;21,1;60;60;0,78;364;54,79;11,5;11,3;4,3;53,7
Israel;Middle East;2015;Yes;3,2;3,9;2,74;96;97;27,2;95;95;0,08;35808;8,38;1,2;1,1;13;82,1
Seychelles;Africa;2002;No;11,8;13,7;8,13;99;99;25,6;99;99;3,5;10714;0,08;6,1;6,6;7,6;71,1
Yemen Rep;Middle East;2005;No;54,8;73;0,038;80;95;22,8;80;79;0,02;2536;20,11;13,9;13,8;1,9;63,5
New Zealand;Oceania;2015;Yes;4,6;5,5;8,68;92;87;28;92;92;0,03;38631;4,61;0,4;0,3;12,4;81,5
Comoros;Africa;2003;No;71,7;99,6;0,26;71;64;23,1;80;80;0,02;1183;0,58;7,6;7,6;3;59,7
New Zealand;Oceania;2012;Yes;4,9;5,9;9,17;93;85;27,8;93;93;0,03;36521;4,41;0,3;0,3;12,1;81,2
Croatia;European Union;2009;Yes;4,9;5,7;11,11;97;98;26,6;96;96;0,02;11871;4,31;1,7;1,6;10,6;76,2
Turkiye;Middle East;2004;No;23,6;28,2;1,48;77;65;27;85;85;0,08;7195;67,01;5,1;4,9;5,9;72
Nepal;Asia;2011;No;35;43,6;0,25;92;65;21,9;92;92;0,17;754;27,04;16,5;16,9;3,3;68
Azerbaijan;Asia;2001;No;57,2;69,3;0,5;50;65;25,6;77;77;0,16;1615;8,11;3,1;3,1;10,6;67,1
France;European Union;2000;Yes;4,1;5,4;13,92;26;65;24,8;98;97;0,11;33597;60,91;0,7;0,6;9,8;79,1
Germany;European Union;2014;Yes;3,3;4;11,07;88;93;26,5;93;95;0,03;40851;80,98;1,1;1,1;14;81,1
Croatia;European Union;2003;Yes;6,3;7,3;12,99;96;98;25,9;95;94;0,02;10510;4,3;1,9;1,9;9,8;74,6
Kyrgyz Republic;Asia;2006;No;32,7;37,5;6,78;90;65;25,4;93;92;0,13;837;5,22;3,3;3,4;10,2;67,7
Vanuatu;Oceania;2006;No;23,8;28,4;1;59;65;25,8;67;68;0,17;2776;0,21;1,6;1,5;6,5;68,5
Tonga;Oceania;2014;No;10,8;12,5;0,28;98;92;32,1;98;80;0,17;4276;0,1;0,1;0,1;11,1;70,4
Sweden;European Union;2013;Yes;2,4;2,9;7,32;67;95;25,9;98;98;0,08;49049;9,6;1,4;1,3;12,2;82
Mauritania;Africa;2001;No;68,9;112,1;0,012;61;64;23,8;75;75;0,47;1252;2,7;1,7;1,5;3;60,8
Nicaragua;Central America and Caribbean;2010;No;20,3;23,9;3,33;98;83;26,7;99;98;0,12;1679;5,82;1,9;1,8;6;72,4
Tanzania;Africa;2008;No;51;79,6;4,96;86;64;22,7;89;86;2,76;765;41,85;7,3;7,3;5;56,8
Latvia;European Union;2007;Yes;7,7;9,3;12,12;91;98;26,1;94;94;0,18;13186;2,2;2,4;2,4;12,3;71
Congo Rep;Africa;2004;No;60,7;93,3;0,9;71;64;22,4;67;67;2,14;2080;3,51;9;8,6;5,8;54,7
Seychelles;Africa;2006;No;11,9;13,8;6,43;99;99;25,9;99;99;3,5;11562;0,08;5,9;6,3;7,8;72,2
Rwanda;Africa;2007;No;54,4;84,4;7,84;97;87;21,5;98;97;1,44;512;9,27;6,8;6,7;3,1;58,9
Bosnia and Herzegovina;Rest of Europe;2001;No;8,4;9,6;4,11;92;86;24,8;92;91;0,08;2913;3,76;3,2;3,2;7,1;74,6
Italy;European Union;2009;Yes;3,4;4,1;7,25;96;83;25,7;96;96;0,08;31615;59,1;0,5;0,5;9,6;81,6
Sao Tome and Principe;Central America and Caribbean;2013;No;22;27,7;5,4;97;71;24,6;97;97;0,16;1486;0,19;5,7;5,5;5,2;68,7
India;Asia;2010;No;45,1;58,2;2,73;38;38;21,4;76;79;0,1;1244;1234,28;27;27,8;5,4;66,7
Guinea-Bissau;Africa;2003;No;95,9;156,8;3,07;83;64;22,4;65;60;3,09;550;1,28;9,6;9,5;2,3;51,5
Guatemala;Central America and Caribbean;2012;No;26,5;32;1,91;96;83;26,2;94;96;0,04;3732;14,78;1,2;1,2;4,6;72,2
Cyprus;European Union;2006;Yes;3,6;4,2;11,48;93;90;26,6;97;97;0,04;26394;1,05;0,9;1;10,9;78,8
Germany;European Union;2009;Yes;3,5;4,3;11,23;88;93;26,3;95;96;0,08;36190;81,9;1,1;1,1;13,8;79,8
Chad;Africa;2015;No;75,7;128,7;0,66;46;64;21,9;52;46;0,42;776;14,11;8,5;8,4;2,3;53,1
Venezuela;South America;2008;No;14,7;17,2;8,41;53;83;26,5;76;50;0,4;11433;27,64;1,6;1,5;8,2;73,1
Ireland;European Union;2013;Yes;3,3;3,9;10,51;95;86;27,3;96;96;0,07;46339;4,62;0,3;0,2;11,8;80,9
Solomon Islands;Oceania;2015;No;19,3;22,7;1,01;98;65;26,2;85;98;0,17;2167;0,6;1,1;1,2;5,4;72,2
Argentina;South America;2002;No;16,4;18,3;7,81;66;83;26,3;94;93;0,15;8943;37,68;1,2;1;9,2;73,9
Spain;European Union;2006;Yes;3,7;4,5;11,86;97;94;26,2;98;98;0,09;26763;44,4;0,6;0,5;9;80,8
Gabon;Africa;2011;No;40,4;59,3;8,01;75;64;24,8;75;75;1,73;7086;1,68;6,4;6,3;7,7;62,2
Montenegro;Rest of Europe;2014;No;3,7;4,4;8,55;87;95;26,4;91;91;0,03;6307;0,62;1,8;1,9;11,3;76,4
Serbia;Rest of Europe;2013;No;5,9;6,9;7,94;91;82;25,9;97;95;0,02;5525;7,16;2,1;2,1;10,4;75,2
Portugal;European Union;2013;Yes;3;3,7;9,52;98;96;25,7;98;98;0,14;18585;10,46;0,7;0,5;8,6;80,7
Somalia;Africa;2000;No;104,4;172,7;0;42;64;22,1;37;33;0,13;174;8,87;8;7,9;2,1;50,9
Gambia;Africa;2006;No;51,5;87,6;3,25;95;64;22,9;94;95;1,39;686;1,59;9;8,9;2,5;58,3
Niger;Africa;2012;No;57;108,2;0,15;71;64;21,6;71;71;0,07;464;17,8;1,3;1,1;1,6;58,8
Cambodia;Asia;2007;No;46,2;55,4;1,29;82;48;21,3;82;82;0,25;825;13,68;11,3;11,5;3,7;64,7
Kiribati;Oceania;2006;No;49,7;65,1;0,69;88;35;29,3;86;86;0,17;1497;0,09;0,2;0,1;7,4;64,7
Equatorial Guinea;Africa;2003;No;99;142,8;7,87;46;64;22,9;47;37;3,69;8745;0,69;1,2;1,1;5,4;54,1
Israel;Middle East;2009;Yes;3,8;4,7;2,67;98;92;26,9;96;96;0,08;31323;7,49;1,2;1,1;12,6;81,4
Kuwait;Middle East;2002;No;10,3;12;0,011;99;84;28,4;99;99;0,13;29591;2,14;3,2;3;6,1;73,3
St Vincent and the Grenadines;Central America and Caribbean;2004;No;19;21,6;5,77;99;83;25,9;99;99;0,4;6313;0,11;3,8;3,7;7,8;71,2
Zambia;Africa;2001;No;85,3;146,9;2,8;81;39;21,6;86;85;9,38;794;10,69;7,4;7,4;6;44,6
St Vincent and the Grenadines;Central America and Caribbean;2009;No;18,2;20,4;6,98;99;83;26,5;99;99;0,4;7098;0,11;3,6;3,5;8,2;71,7
Dominican Republic;Central America and Caribbean;2013;No;28,8;35;5,41;80;83;26,2;82;83;0,43;6187;10,05;3,3;3,2;7,6;72,8
Jamaica;Central America and Caribbean;2014;No;13,8;16;3,2;92;72;27,5;93;92;0,5;4890;2,88;1,8;1,7;9,6;74
Iran Islamic Rep;Middle East;2008;No;18,5;21,7;0,026;99;65;25,6;99;99;0,12;5260;72,12;7,6;7,8;8,6;73
Eritrea;Africa;2005;No;46,1;67,5;1,18;96;88;20,4;96;96;0,38;762;2,83;9,4;9,5;3,7;58,7
Lao PDR;Asia;2010;No;51,8;68,3;6,1;74;65;22,2;76;74;0,17;1586;6,25;9,3;9,5;4,6;64,3
Netherlands;European Union;2001;Yes;5;6,1;9,82;88;97;25,1;97;97;0,06;41087;16,05;1,1;1,1;11;78,2
Bangladesh;Asia;2011;No;37,2;46,7;0;96;71;21,2;96;96;0,01;1024;149,27;18,7;19,2;5,1;70,3
Mexico;North America;2002;No;21,9;26;4,92;97;89;26,9;98;97;0,15;8581;101,68;1,9;1,8;7;74,9
Iran Islamic Rep;Middle East;2000;No;29,7;36,2;0,012;99;65;25;99;99;0,08;3923;65,62;7,8;7,9;6,2;70,2
Iraq;Middle East;2015;No;24,8;29,7;0,16;56;76;28,6;72;58;0,13;4688;35,57;5,3;5,1;6,6;69,9
Lebanon;Middle East;2007;No;10,4;12,1;1,59;80;55;26,9;75;80;0,03;7295;4,77;4,7;4,6;7,8;77,6
Pakistan;Asia;2006;No;75,4;94,5;0,034;78;32;23,1;58;78;0,13;1217;164,02;21;21,5;4,4;64,2
Guinea-Bissau;Africa;2015;No;60;92,1;3,13;87;64;23,4;83;87;1,58;603;1,74;7,1;7;2,9;57
Thailand;Asia;2004;No;15,5;18;6,1;96;95;23,2;98;98;0,42;4263;65;9;9,2;6,8;71,7
Guatemala;Central America and Caribbean;2010;No;28,6;34,8;2,03;94;83;26;94;94;0,08;3606;14,26;1,3;1,3;4,9;71,5
Kyrgyz Republic;Asia;2007;No;31,2;35,7;6,98;94;65;25,5;94;94;0,17;900;5,27;3,3;3,4;10,3;67,9
Austria;European Union;2012;Yes;3,3;4;12,1;92;78;25,5;92;92;0,08;44550;8,43;1,8;2;11,8;80,9
Mali;Africa;2013;No;70,6;116,6;0,58;69;64;22,8;57;69;0,44;701;16,45;8,1;7,9;2,2;56,6
Bahrain;Middle East;2005;No;9,1;10,6;1,92;98;99;25,3;98;98;0,05;22344;0,89;6,1;5,9;8,4;75,3
Russian Federation;Rest of Europe;2011;No;8,1;10,1;10,75;97;97;26,1;97;97;0,08;9124;142,96;2,3;2,4;11,6;69,7
Guinea-Bissau;Africa;2005;No;89,2;144,5;3,69;83;64;22,6;73;68;3,02;562;1,34;9,2;9;2,3;52,3
Turkmenistan;Asia;2006;No;42,3;49,6;2,54;98;99;25,3;98;98;0,08;3057;4,81;3,3;3,3;9,9;65,4
St, Lucia;Central America and Caribbean;2009;No;16,9;19,3;11,06;95;83;28,6;95;95;0,4;10099;0,17;4,3;4,4;7,9;74,7
Belarus;Rest of Europe;2012;No;3,7;4,9;13,56;97;97;26,4;98;98;0,23;6048;9,45;2;2,1;12;72
Portugal;European Union;2007;Yes;3,3;4,2;11,54;97;95;25,8;96;97;0,18;19951;10,54;0,7;0,5;7,7;78,3
Vanuatu;Oceania;2000;No;23,9;28,5;0,82;70;65;25,4;67;71;0,17;2837;0,18;1,7;1,7;6,5;67,4
Micronesia Fed Sts;Oceania;2012;No;26,2;31,6;2,89;82;65;29,4;81;81;0,17;3076;0,1;0,2;0,2;7,7;66,8
Pakistan;Asia;2007;No;74,1;92,7;0,034;75;33;23,2;54;75;0,13;1247;167,81;2,8;21,3;4,4;64,4
Malawi;Africa;2005;No;65;110,5;1,45;93;64;22,1;94;93;6,42;289;12,63;7,4;7,2;3,4;47,8
Indonesia;Asia;2002;No;37,8;47,6;0,054;63;24;21,8;80;70;0,17;1968;217,36;11;11,1;7;66,3
Afghanistan;Asia;2013;No;57,3;76,9;0,01;64;38;23;64;64;0,03;569;32,27;17,7;17,7;3,5;62,5
United States;North America;2000;Yes;7,1;8,4;8,3;90;86;27,5;90;94;0,13;48746;282,16;0,8;0,7;12,7;76,6
Vanuatu;Oceania;2004;No;23,6;28,1;0,85;63;65;25,7;67;69;0,17;2553;0,2;1,6;1,5;6,5;68,2
Sao Tome and Principe;Central America and Caribbean;2006;No;36,6;50,9;5,68;75;71;24,1;97;97;0,53;1282;0,16;6,9;6,8;4,5;65,3
Zambia;Africa;2011;No;50,1;76,8;2,79;81;38;22,2;83;81;5,5;1244;14,02;6,6;6,4;6,7;57,1
Papua New Guinea;Oceania;2008;No;46,8;60,8;0,77;59;65;24,9;69;63;0,39;1991;6,98;1,4;1,3;3,8;61,4
Dominican Republic;Central America and Caribbean;2001;No;31,7;39;6,36;66;83;25;71;72;0,94;4249;8,6;3,8;3,6;6,5;69,7
Equatorial Guinea;Africa;2011;No;76,7;107,4;9,38;46;64;23,6;60;41;4,58;14099;0,99;8,9;8,8;5,5;55,9
Peru;South America;2010;No;15,3;19,8;5,23;93;56;26;92;93;0,15;5178;29,03;1,1;1,1;8,4;74,4
Myanmar;Asia;2002;No;62,3;84,7;0,14;74;63;21,5;84;79;0,53;381;47,7;13,3;13,7;3,3;60,7
Congo Dem Rep;Africa;2012;No;79,1;106,1;4,4;75;64;21,7;76;75;0,46;433;69,02;1;9,8;5,8;57,9
Libya;Africa;2005;No;19,8;23,1;0,005;97;95;27,2;98;98;0,08;12760;5,8;5,5;5,4;6,4;71,9
Indonesia;Asia;2008;No;30;36,7;0,071;82;66;22,3;83;77;0,21;2514;235,47;1,7;1,7;7,1;68,5
Sierra Leone;Africa;2006;No;120,9;188,9;3,68;75;60;22,4;65;64;1,36;476;5,83;9,1;9,1;2,8;45,5
Spain;European Union;2004;Yes;3,9;4,9;11,32;97;91;26,2;97;97;0,09;25655;42,92;0,6;0,5;8,6;79,9
Armenia;Rest of Europe;2002;No;24,5;27,7;2,87;91;95;25,7;96;94;0,08;1619;3,03;2,1;2,1;10,8;72,1
Hungary;European Union;2009;Yes;5,2;6,2;11,52;88;99;26,7;99;99;0,08;11167;10,02;1,8;1,8;11,7;73,9
Congo Rep;Africa;2005;No;56,8;86,4;0,86;71;64;22,5;62;62;2,19;2172;3,62;8,8;8,5;5,8;55,6
Yemen Rep;Middle East;2010;No;45,5;58,8;0,06;76;95;23,3;77;76;0,03;2722;23,15;13,7;13,7;2,6;65,5
Trinidad and Tobago;Central America and Caribbean;2010;No;20,1;22,5;5,79;90;82;27;91;90;0,4;18189;1,33;5,9;6,3;10,7;71,9
Albania;Rest of Europe;2005;No;17,8;20;4,98;98;97;25,6;97;98;0,03;2676;3,01;1,8;1,8;9,1;75,2
Israel;Middle East;2014;Yes;3,2;4;2,71;97;96;27,2;95;95;0,08;35711;8,22;1,2;1,1;12,9;82,2
Colombia;South America;2000;No;21,2;25,1;4,52;78;84;24,8;82;79;0,26;3962;39,63;2,6;2,3;6,5;72,9
Honduras;Central America and Caribbean;2002;No;27,8;33,7;2,92;94;83;25;95;95;0,36;1810;6,93;2,7;2,6;4,5;71,2
Mozambique;Africa;2007;No;78;118,8;0,69;75;64;22,1;75;75;3,5;429;21,67;3,8;3,7;3;50,9
Central African Republic;Africa;2001;No;109,2;167,4;1,67;45;64;21,6;40;40;3,88;470;3,72;1,4;1,4;2,9;44,1
Kazakhstan;Asia;2003;No;30,8;35,2;6,22;99;99;25,7;99;99;0,05;6046;14,91;2,5;2,6;11,2;65,7
Kiribati;Oceania;2013;No;46,8;60,8;0,73;95;84;29,8;91;95;0,17;1453;0,11;0,1;0,1;7,9;66,7
Ethiopia;Africa;2010;No;54,3;82;0,4;62;64;20,3;69;61;0,36;453;87,64;11;1,7;2,3;61,6
United Kingdom;Rest of Europe;2013;Yes;4;4,7;9,42;88;86;27,1;95;95;0,08;43621;64,13;0,8;0,5;12,6;81
Belize;Central America and Caribbean;2005;No;17,9;20,9;6,1;96;87;27,9;96;96;1,34;4809;0,28;3,6;3,5;10,3;70
Kuwait;Middle East;2003;No;10,1;11,8;0,012;99;87;28,5;99;99;0,13;34322;2,16;3,2;3;6,1;73,4
Niger;Africa;2001;No;93,7;215,2;0,093;72;64;20,9;42;36;0,44;413;11,75;12,7;12,7;1,1;50,6
Kuwait;Middle East;2001;No;10,5;12,2;0,013;99;86;28,4;99;99;0,13;29186;2,1;3,2;3;6,2;73,2
St Vincent and the Grenadines;Central America and Caribbean;2012;No;16,8;18,6;6,81;96;83;26,8;96;96;0,4;6810;0,11;3,5;3,5;8,5;71,9
Morocco;Africa;2010;No;26,8;31,2;0,47;98;73;25,4;99;99;0,05;2534;32,34;6,3;6,2;4,2;74,4
Greece;European Union;2004;Yes;4,3;4,9;9,1;92;77;26,9;95;95;0,04;22118;10,96;0,8;0,8;9,6;79
Ireland;European Union;2012;Yes;3,4;4;11,38;95;86;27,2;95;95;0,07;46001;4,6;0,3;0,2;11,3;80,8
Benin;Africa;2007;No;73,6;116,2;1,23;82;83;22,8;82;82;0,73;981;8,45;8,3;8,2;2,8;58,3
Luxembourg;European Union;2001;Yes;3,5;4,2;13,1;86;86;25,6;99;99;0,06;94244;0,44;1;1;10,5;77,8
Mali;Africa;2000;No;101,5;187,4;0,58;78;64;21,5;53;43;1,07;572;10,95;11;1,9;1,2;48,1
Namibia;Africa;2013;No;35,8;49,1;2,45;89;64;24;89;89;4,91;4588;2,23;9;8,9;6,6;60,5
Uruguay;South America;2014;No;8;9,3;6,15;95;93;27,1;95;95;0,24;15609;3,4;1,5;1,4;8,6;77,2
Djibouti;Africa;2009;No;64,2;78,8;0,47;89;82;23,8;89;89;0,48;1267;0,83;5,7;5,6;3,9;59,6
Seychelles;Africa;2013;No;12,5;14,5;8,32;99;97;26,5;98;98;3,5;14260;0,09;5,7;6,1;9,1;73,1
Turkiye;Middle East;2014;No;11,9;13,8;1,39;96;65;27,7;96;96;0,08;10550;77,23;4,9;4,7;7,6;76,2
Sri Lanka;Asia;2011;No;9,4;10,9;3,03;99;99;22,6;99;99;0,01;3177;20,4;15,3;15,3;10,8;75,6
Mexico;North America;2009;No;17;19,9;4,37;95;92;27,5;95;95;0,16;8569;112,46;1,7;1,6;8,2;75,1
Cuba;Central America and Caribbean;2013;No;4,7;5,9;4,35;96;97;25,4;99;99;0,16;7318;11,28;3,4;3,3;11;78,5
France;European Union;2003;Yes;3,6;4,9;13,45;28;65;24,9;96;97;0,11;34190;62,24;0,6;0,6;10,2;79,1
Uganda;Africa;2012;No;44,3;66,7;8,79;78;64;22,1;79;78;2,62;818;34,56;5,8;5,8;5,3;59
Eswatini;Africa;2009;No;57,9;96;5,65;88;99;26,3;89;88;17,36;3206;1,06;5,8;5,9;5,6;45,3
Mongolia;Asia;2002;No;42;53,7;2,41;98;96;24,5;98;98;0,01;1685;2,44;2,4;2,5;8,4;63,8
Nigeria;Africa;2003;No;100,8;165,9;11,33;29;64;22,5;42;29;1,15;1764;131,9;13,5;13,6;5,2;47,2
Azerbaijan;Asia;2002;No;53,5;64,3;0,55;50;67;25,7;80;76;0,18;1754;8,17;3,1;3,1;10,6;67,4
Mauritania;Africa;2005;No;67;108,1;0,014;42;64;24,2;71;71;0,37;1379;3,02;9,8;9,6;3,4;61,3
Israel;Middle East;2013;Yes;3,3;4,1;2,9;97;95;27,1;96;96;0,08;34961;8,06;1,2;1,1;12,8;82,1
Syrian Arab Republic;Middle East;2008;No;16,2;18,9;0,75;83;81;27,5;83;79;0,13;1579;20,66;6,4;6,2;6,3;73,6
Armenia;Rest of Europe;2014;No;13,3;14,8;4,22;93;97;26,2;95;93;0,08;3511;2,91;2,1;2,1;11,5;74,3
Equatorial Guinea;Africa;2012;No;74,3;103,6;9,79;46;64;23,7;58;24;4,63;14614;1,03;8,7;8,7;5,5;56,3
Turkmenistan;Asia;2012;No;36,3;42;3;98;99;26,1;98;97;0,08;5250;5,27;3,2;3,3;9,8;67,2
Kazakhstan;Asia;2011;No;16,4;18,3;3,41;99;99;26,1;99;99;0,12;9507;16,56;2,3;2,5;11,5;68,7
Uzbekistan;Asia;2000;No;50,8;60,7;3,03;99;98;24,8;99;99;0,02;1277;24,65;3,4;3,4;9,1;67,2
Namibia;Africa;2002;No;43,6;74,7;1,99;83;64;23,1;78;77;10,31;3211;1,85;14,7;14,8;5,8;50,9
Honduras;Central America and Caribbean;2015;No;16,5;19,2;2,49;97;83;26,7;98;97;0,07;2302;9,11;2,1;2,1;6,3;74,5
